LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
28m         Warning   Unhealthy                  pod/gpt2-runtime-78cd7b4b56-zd5tm                                Readiness probe failed: Get "http://115.145.135.205:10682/healthz": dial tcp 115.145.135.205:10682: connect: connection refused
28m         Normal    ScalingReplicaSet          deployment/gpt2-runtime                                          Scaled up replica set gpt2-runtime-78cd7b4b56 from 0 to 1
28m         Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-5vd5k
28m         Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-5vd5k                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-5vd5k to ampere
28m         Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-bln9h
28m         Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-bln9h                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-bln9h to ampere
28m         Normal    ScalingReplicaSet          deployment/llama-runtime                                         Scaled up replica set llama-runtime-fc6f5dd9 from 0 to 1
27m         Normal    Started                    pod/gpt2-runtime-78cd7b4b56-5vd5k                                Started container runtime
27m         Normal    Created                    pod/gpt2-runtime-78cd7b4b56-5vd5k                                Created container: runtime
27m         Normal    Pulled                     pod/gpt2-runtime-78cd7b4b56-5vd5k                                Container image "localhost:10690/migrant-model-runtime:go" already present on machine
27m         Normal    Pulled                     pod/llama-runtime-fc6f5dd9-bln9h                                 Container image "localhost:10690/migrant-model-runtime:go" already present on machine
27m         Normal    Created                    pod/llama-runtime-fc6f5dd9-bln9h                                 Created container: runtime
27m         Normal    Started                    pod/llama-runtime-fc6f5dd9-bln9h                                 Started container runtime
9m25s       Normal    SuccessfulCreate           job/migrant-go-control-plane-build-or-sim-control-plane          Created pod: migrant-go-control-plane-build-or-sim-control-plane-sv5zx
9m25s       Normal    Scheduled                  pod/migrant-go-control-plane-build-or-sim-control-plane-sv5zx    Successfully assigned or-sim/migrant-go-control-plane-build-or-sim-control-plane-sv5zx to or-sim-control-plane
9m24s       Normal    Pulled                     pod/migrant-go-control-plane-build-or-sim-control-plane-sv5zx    Container image "gcr.io/kaniko-project/executor:debug" already present on machine
9m24s       Normal    Created                    pod/migrant-go-control-plane-build-or-sim-control-plane-sv5zx    Created container: kaniko
9m24s       Normal    Started                    pod/migrant-go-control-plane-build-or-sim-control-plane-sv5zx    Started container kaniko
8m18s       Normal    SuccessfulCreate           replicaset/transition-executor-7c5cb78949                        Created pod: transition-executor-7c5cb78949-2dcdq
8m18s       Normal    Scheduled                  pod/transition-executor-7c5cb78949-2dcdq                         Successfully assigned or-sim/transition-executor-7c5cb78949-2dcdq to or-sim-control-plane
8m18s       Normal    Completed                  job/migrant-go-control-plane-build-or-sim-control-plane          Job completed
8m18s       Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled up replica set transition-executor-7c5cb78949 from 0 to 1
8m17s       Normal    Pulled                     pod/transition-executor-7c5cb78949-2dcdq                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 245ms (245ms including waiting). Image size: 21914065 bytes.
8m17s       Normal    Started                    pod/transition-executor-7c5cb78949-2dcdq                         Started container controller
8m17s       Normal    Created                    pod/transition-executor-7c5cb78949-2dcdq                         Created container: controller
8m17s       Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled down replica set transition-executor-5948ff6545 from 1 to 0
8m17s       Normal    Pulling                    pod/transition-executor-7c5cb78949-2dcdq                         Pulling image "localhost:10690/migrant-control-plane:go"
8m17s       Normal    SuccessfulDelete           replicaset/transition-executor-5948ff6545                        Deleted pod: transition-executor-5948ff6545-xds75
8m17s       Normal    Killing                    pod/transition-executor-5948ff6545-xds75                         Stopping container controller
7m51s       Normal    Killing                    pod/llama-runtime-fc6f5dd9-bln9h                                 Stopping container runtime
7m51s       Normal    Killing                    pod/gpt2-runtime-78cd7b4b56-5vd5k                                Stopping container runtime
7m24s       Warning   UnexpectedAdmissionError   pod/gpt2-runtime-78cd7b4b56-fqcwg                                Allocate failed due to endpoint &{{0 0} or-sim.io/ampere-gpu0-s0-1-1g 0xc08e9a6100 {14014679571616784422 109669337540154 0x4ffd6e0} <nil>} has been stopped, which is unexpected
7m24s       Normal    SuccessfulCreate           replicaset/gpt2-runtime-78cd7b4b56                               Created pod: gpt2-runtime-78cd7b4b56-s2s8k
7m24s       Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-4tbfr                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-4tbfr to ampere
