mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,input_hw,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,resnet50,16,224x224,fp16,torchvision,ok,,50,41.045884,41.208672,43.575294,47.456032,389.807657,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,resnet50,16,224x224,fp16,torchvision,ok,,50,40.343876,40.24432,41.559902,48.202721,396.590554,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,16,224x224,fp16,torchvision,ok,,50,39.307536,39.866047,41.968063,42.792606,407.046628,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,16,224x224,fp16,torchvision,ok,,50,38.929164,38.971519,41.797409,45.105343,411.00292,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,16,224x224,fp16,torchvision,ok,,50,49.744912,49.778175,51.091969,52.962078,321.640936,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,16,224x224,fp16,torchvision,ok,,50,41.251002,41.228577,44.005951,47.570625,387.869371,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,resnet50,16,224x224,fp16,torchvision,ok,,50,40.402247,40.868416,42.237247,42.382401,396.017579,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,resnet50,16,224x224,fp16,torchvision,ok,,50,40.602863,40.393215,44.423424,52.243809,394.060883,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,resnet50,16,224x224,fp16,torchvision,ok,,50,40.249113,40.258335,43.752705,45.485695,397.524287,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,resnet50,16,224x224,fp16,torchvision,ok,,50,46.092813,46.028225,46.113407,49.027103,347.125701,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,resnet50,16,224x224,fp16,torchvision,ok,,50,23.658337,23.32032,24.914944,28.844704,676.294357,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,resnet50,16,224x224,fp16,torchvision,ok,,50,22.817318,22.507423,24.454111,26.580641,701.221754,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,resnet50,16,224x224,fp16,torchvision,ok,,50,22.664373,22.340351,24.062847,26.30032,705.953782,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,resnet50,16,224x224,fp16,torchvision,ok,,50,22.136285,21.951488,23.579391,26.43136,722.795162,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,resnet50,32,224x224,fp16,torchvision,ok,,50,87.212566,87.144669,87.679108,91.059807,366.9196,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,resnet50,32,224x224,fp16,torchvision,ok,,50,46.964755,46.901314,48.377472,48.635841,681.36201,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,resnet50,32,224x224,fp16,torchvision,ok,,50,40.476408,40.654175,43.675362,45.393826,790.583979,0.0,0.0,,,vision-20260703-ampere-gpu0
