action_count,action_counts_json,algorithm_wall_sec,chosen_templates,clear_count,coarse_root_action_count,collocate_pairs,completed,configure_count,estimated_hardware_sec,exact_preserve,failure_reason,failure_stage,feasible,feasible_option_elapsed_sec,final_active_gpu,fine_action_count,gpu_count,iteration_count,mixed_gpu_count,peak_active_gpu,placement_elapsed_sec,reached_target,remaining_slots,scenario,sim_transition_elapsed_sec,source_active_gpu,spread,target_build_elapsed_sec,target_physical_templates,template_match_count,total_instances,total_slack,upgrade_preserve,variant,wall_sec
30,"{""bind_target_gpu"": 4, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 4, ""place_target_layout"": 4}",0.8062953222543001,4+3+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1,9,9,24,True,4,546.4,0,,,True,0.05699656903743744,4,30,4,1,1,9,0.058478355407714844,True,6,round2_stage0_bootstrap_balanced,0.001931874081492424,9,6,0.68353271484375,4+3+1+1+1+1+3+2+1+1+2+1+1+1+1+1+1+1+1,0,15,484.25781499999994,0,target_no_preserve,0.8062953222543001
64,"{""allocate_gpu"": 9, ""bind_target_gpu"": 11, ""clear_gpu"": 3, ""clear_template"": 3, ""configure_full_template"": 11, ""mark_reconfig_target_prepared"": 1, ""place_target_layout"": 11, ""remove_instance"": 1, ""stop_accepting_new"": 14}",32.32074033468962,4+3+3+2+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+1+1+1+1+1,3,16,74,True,11,1291.4,0,,,True,0.05681431666016579,12,64,12,3,9,12,0.0547490119934082,True,5,round2_stage1_llm_spike,0.013399509713053703,4,23,32.190768003463745,4+3+2+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+4+3+2+1+1+1+1+1+1+1+1+1+1+1+1,0,55,484.4644509999998,0,target_no_preserve,32.32074033468962
97,"{""allocate_gpu"": 1, ""bind_target_gpu"": 6, ""clear_gpu"": 11, ""clear_template"": 11, ""configure_full_template"": 6, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 1, ""place_target_layout"": 6, ""stop_accepting_new"": 54}",2.06590548530221,4+3+4+3+3+2+1+1+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,11,23,55,True,6,848.6,0,,,True,0.055784763768315315,7,97,7,2,1,13,0.0592801570892334,True,6,round2_stage2_vision_shift,0.022239336743950844,12,8,1.9228696823120117,4+3+4+3+2+1+1+3+4+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,29,454.36985300000015,0,target_no_preserve,2.06590548530221
52,"{""allocate_gpu"": 2, ""bind_target_gpu"": 3, ""clear_gpu"": 6, ""clear_template"": 6, ""configure_full_template"": 3, ""mark_reconfig_target_prepared"": 2, ""place_target_layout"": 3, ""stop_accepting_new"": 27}",0.6413519885390997,4+2+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,6,12,31,True,3,429.0,0,,,True,0.05541745200753212,4,52,4,2,1,9,0.06277012825012207,True,5,round2_stage3_scale_down,0.009065864607691765,7,6,0.5090258121490479,4+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,18,587.6318650000001,0,target_no_preserve,0.6413519885390997
61,"{""allocate_gpu"": 6, ""bind_target_gpu"": 8, ""clear_gpu"": 3, ""clear_template"": 3, ""configure_full_template"": 8, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 4, ""place_target_layout"": 8, ""remove_instance"": 2, ""stop_accepting_new"": 18}",1.6359120048582554,4+3+4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,3,17,49,True,8,960.8000000000001,0,,,True,0.054671112447977066,9,61,9,7,6,9,0.052765846252441406,True,4,round2_stage4_mixed_rebound,0.0201523769646883,4,16,1.5034875869750977,4+3+4+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1,0,38,333.6648160000004,0,target_no_preserve,1.6359120048582554
30,"{""bind_target_gpu"": 4, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 4, ""place_target_layout"": 4}",48.2257017865777,4+3+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1,9,9,24,True,4,546.4,0,,,True,0.05549430288374424,4,30,4,1,1,9,0.05298113822937012,True,6,round2_stage0_bootstrap_balanced,0.001904202625155449,9,6,48.110923528671265,4+3+1+1+1+1+3+2+1+1+2+1+1+1+1+1+1+1+1,0,15,484.25781499999994,0,target_beam_preserve,48.2257017865777
59,"{""allocate_gpu"": 10, ""bind_target_gpu"": 10, ""clear_gpu"": 2, ""clear_template"": 2, ""configure_full_template"": 10, ""mark_reconfig_target_prepared"": 2, ""place_instance"": 3, ""place_target_layout"": 10, ""remove_instance"": 2, ""stop_accepting_new"": 8}",558.3004665542394,4+3+3+2+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+1+1+1+1+1,2,18,69,True,10,1165.8,7,,,True,0.0677263680845499,12,59,12,7,11,12,0.053337812423706055,True,5,round2_stage1_llm_spike,0.022669048979878426,4,25,558.1517868041992,4+2+1+4+2+1+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3,0,55,484.4644509999998,0,target_beam_preserve,558.3004665542394
70,"{""allocate_gpu"": 1, ""bind_target_gpu"": 2, ""clear_gpu"": 7, ""clear_template"": 7, ""configure_full_template"": 2, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 8, ""place_target_layout"": 2, ""remove_instance"": 5, ""stop_accepting_new"": 35}",10.240697756409645,4+3+4+3+3+2+1+1+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,7,28,38,True,2,347.2,23,,,True,0.05557769536972046,7,70,7,9,5,13,0.058538198471069336,True,6,round2_stage2_vision_shift,0.03428611345589161,12,13,10.086370944976807,4+2+1+4+3+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3,0,29,454.36985300000015,0,target_beam_preserve,10.240697756409645
44,"{""bind_target_gpu"": 1, ""clear_gpu"": 4, ""clear_template"": 4, ""configure_full_template"": 1, ""place_instance"": 8, ""place_target_layout"": 1, ""remove_instance"": 6, ""stop_accepting_new"": 19}",14.309636201709509,4+2+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,4,24,25,True,1,187.8,11,,,True,0.06135060265660286,4,44,4,9,3,7,0.062143564224243164,True,5,round2_stage3_scale_down,0.022908050566911697,7,9,14.157969236373901,4+1+1+1+4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3,0,18,587.6318650000001,0,target_beam_preserve,14.309636201709509
41,"{""allocate_gpu"": 6, ""bind_target_gpu"": 6, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 6, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 6, ""place_target_layout"": 6, ""remove_instance"": 3, ""stop_accepting_new"": 5}",54.24750718101859,4+3+4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,1,16,62,True,6,703.6,13,,,True,0.05581539310514927,9,41,9,7,4,9,0.05330300331115723,True,4,round2_stage4_mixed_rebound,0.021010879427194595,4,14,54.11221122741699,4+1+1+1+4+3+1+1+1+1+1+1+1+1+1+1+1+3+4+3+4+3+4+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,38,333.6648160000004,0,target_beam_preserve,54.24750718101859
