mig_uuid,mig_name,model,batch,image_size,patch_size,num_tokens,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,4,384,16,577,bf16,hf,11.6263,11.6227,11.6423,256.84,292.00,19374.94,19332.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,8,224,16,197,bf16,hf,6.8246,6.8055,6.9595,225.70,292.00,19332.94,19332.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,8,256,16,257,bf16,hf,9.0272,9.0215,9.0443,247.75,292.00,19332.94,19332.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,8,384,16,577,bf16,hf,17.5543,17.5556,17.5888,334.08,376.00,19332.94,19248.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,16,224,16,197,bf16,hf,9.9432,9.9427,9.9552,269.87,376.00,19248.94,19248.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,16,256,16,257,bf16,hf,14.9758,14.9735,14.9825,313.97,376.00,19248.94,19248.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,16,384,16,577,bf16,hf,31.2212,31.2173,31.2365,483.81,626.00,19248.94,18998.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,32,224,16,197,bf16,hf,19.2887,19.2872,19.3027,357.43,626.00,18998.94,18998.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,32,256,16,257,bf16,hf,27.1288,27.1206,27.1553,446.42,626.00,18998.94,18998.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,32,384,16,577,bf16,hf,57.3543,57.3514,57.3757,778.37,1060.00,18998.94,18564.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,64,224,16,197,bf16,hf,37.2313,37.2246,37.2520,532.74,1060.00,18564.94,18564.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,64,256,16,257,bf16,hf,49.5801,49.5729,49.5968,711.31,1060.00,18564.94,18564.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,vit-base-patch16-224,64,384,16,577,bf16,hf,108.1842,108.1767,108.2184,1371.31,2026.00,18564.94,17598.94
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,1,224,16,197,bf16,hf,6.9399,6.8688,7.2313,187.00,208.00,39668.50,39556.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,1,256,16,257,bf16,hf,5.8096,5.8242,6.1164,189.80,210.00,39556.50,39552.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,1,384,16,577,bf16,hf,6.0350,6.0338,6.0473,200.11,210.00,39552.50,39552.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,2,224,16,197,bf16,hf,5.4363,5.4121,5.5326,192.48,210.00,39552.50,39552.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,2,256,16,257,bf16,hf,5.2469,5.2216,5.3771,198.08,210.00,39552.50,39552.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,2,384,16,577,bf16,hf,7.2971,7.2942,7.3124,218.71,250.00,39552.50,39512.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,4,224,16,197,bf16,hf,5.5352,5.4147,5.5779,203.44,250.00,39512.50,39512.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,4,256,16,257,bf16,hf,5.9230,5.9205,5.9349,215.08,250.00,39512.50,39512.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,4,384,16,577,bf16,hf,9.0858,9.0916,9.1127,256.84,292.00,39512.50,39470.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,8,224,16,197,bf16,hf,5.7534,5.6949,6.1285,225.70,292.00,39470.50,39470.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,8,256,16,257,bf16,hf,7.5194,7.5183,7.5320,247.75,292.00,39470.50,39470.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,8,384,16,577,bf16,hf,13.6106,13.6074,13.6291,334.08,376.00,39470.50,39386.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,16,224,16,197,bf16,hf,6.3448,6.3305,6.3994,269.87,376.00,39386.50,39386.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,16,256,16,257,bf16,hf,11.5455,11.5348,11.5715,313.97,376.00,39386.50,39386.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,16,384,16,577,bf16,hf,20.9995,20.9032,21.4947,483.81,626.00,39386.50,39136.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,32,224,16,197,bf16,hf,12.2492,12.2458,12.2752,357.43,626.00,39136.50,39136.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,32,256,16,257,bf16,hf,17.9694,18.0049,18.1544,446.42,626.00,39136.50,39136.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,32,384,16,577,bf16,hf,37.7234,37.7646,38.1636,778.37,1060.00,39136.50,38702.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,64,224,16,197,bf16,hf,23.9119,23.9425,23.9847,532.74,1060.00,38702.50,38702.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,64,256,16,257,bf16,hf,32.0153,32.0133,32.3618,711.31,1060.00,38702.50,38702.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vit-base-patch16-224,64,384,16,577,bf16,hf,70.2629,70.3128,70.6515,1371.31,2026.00,38702.50,37736.50
