mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,densenet121,128,224x224,103.8297,103.8244,103.8735,1341.27,1688,18728.94,17944.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,4,299x299,7.2759,7.2458,7.4291,160.12,204,19512.94,19428.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,8,299x299,8.8762,8.876,8.8812,216.08,314,19428.94,19318.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,16,299x299,14.7976,14.7958,14.8101,328.91,530,19318.94,19102.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,32,299x299,25.9853,25.985,25.9942,556.37,1046,19102.94,18586.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,64,299x299,53.0534,53.0524,53.076,1012,2070,18586.94,17560.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,inception_v3,128,299x299,103.9457,103.936,103.9677,1922.9,4118,17560.94,15512.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,4,224x224,8.4077,8.3169,8.832,411.03,446,19260.94,19184.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,8,224x224,12.2748,12.2726,12.287,476.59,546,19184.94,19084.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,16,224x224,22.3303,22.3273,22.3396,601.71,742,19084.94,18888.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,32,224x224,45.0157,45.013,45.0284,856.96,1134,18888.94,18496.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,64,224x224,88.2594,88.2524,88.2924,1364.46,1918,18496.94,17712.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,convnext_base,128,224x224,173.2564,173.2495,173.2915,2381.45,3486,17712.94,16144.94
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,4,224x224,6.1394,6.1399,6.1491,690.48,706,19191.88,18997.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,8,224x224,10.9586,10.9537,10.9588,836.93,1002,18997.88,18701.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,16,224x224,20.0507,20.0489,20.0571,1135.95,1592,18701.88,18111.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,32,224x224,38.2361,38.229,38.2751,1732.81,2770,18111.88,16933.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,64,224x224,74.8042,74.7991,74.8237,2927.3,5126,16933.88,14577.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,vgg16,128,224x224,147.4553,147.4488,147.4888,5316.3,9832,14577.88,9871.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,4,224x224,5.0712,5.0483,5.2009,150.35,166,19583.88,19537.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,8,224x224,7.0661,7.0666,7.0728,192.48,244,19537.88,19459.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,16,224x224,13.0629,13.0611,13.0724,279.73,394,19459.88,19309.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,32,224x224,24.3473,24.3476,24.3558,445.23,788,19309.88,18915.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,64,224x224,46.408,46.4056,46.421,783.22,1574,18915.88,18129.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,resnet50,128,224x224,90.1115,90.1069,90.1356,1456.22,3144,18129.88,16559.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,4,224x224,13.1464,12.9434,13.909,82.09,102,19657.88,19601.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,8,224x224,12.9264,12.8092,13.5188,122.16,160,19601.88,19543.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,16,224x224,16.4944,16.4946,16.5059,202.65,304,19543.88,19399.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,32,224x224,30.3258,30.3247,30.3391,366.03,512,19399.88,19191.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,64,224x224,59.1826,59.1821,59.1964,691.77,904,19191.88,18799.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,densenet121,128,224x224,114.8228,114.8201,114.8437,1341.27,1688,18799.88,18015.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,4,299x299,7.2857,7.2643,7.4875,160.12,204,19583.88,19499.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,8,299x299,10.3456,10.3434,10.3557,216.08,314,19499.88,19389.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,16,299x299,17.1716,17.1704,17.1766,328.91,530,19389.88,19173.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,32,299x299,31.3696,31.3702,31.3836,556.37,1046,19173.88,18657.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,64,299x299,64.1659,64.1659,64.1987,1012,2070,18657.88,17631.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,inception_v3,128,299x299,122.2237,122.2185,122.2543,1922.9,4118,17631.88,15583.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,4,224x224,8.8871,8.8852,8.8996,411.03,446,19331.88,19255.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,convnext_base,8,224x224,15.1,15.0979,15.1091,476.59,546,19255.88,19155.88
