LAST SEEN   TYPE     REASON              OBJECT                                                          MESSAGE
6m21s       Normal   Killing             pod/transition-executor-c68f577c8-hpd4r                         Stopping container controller
6m21s       Normal   SuccessfulDelete    replicaset/planner-controller-84748c7899                        Deleted pod: planner-controller-84748c7899-w7tsf
6m21s       Normal   Killing             pod/planner-controller-84748c7899-w7tsf                         Stopping container controller
6m21s       Normal   SuccessfulDelete    replicaset/transition-executor-c68f577c8                        Deleted pod: transition-executor-c68f577c8-hpd4r
6m21s       Normal   SuccessfulDelete    replicaset/cluster-state-manager-76d4d4787b                     Deleted pod: cluster-state-manager-76d4d4787b-jhzgl
6m21s       Normal   Killing             pod/cluster-state-manager-76d4d4787b-jhzgl                      Stopping container controller
6m21s       Normal   ScalingReplicaSet   deployment/cluster-state-manager                                Scaled down replica set cluster-state-manager-76d4d4787b from 1 to 0
6m21s       Normal   ScalingReplicaSet   deployment/transition-executor                                  Scaled down replica set transition-executor-c68f577c8 from 1 to 0
4m53s       Normal   Started             pod/gpt2-runtime-7d7dc5dc48-wqrpk                               Started container runtime
4m53s       Normal   ScalingReplicaSet   deployment/llama-runtime                                        Scaled up replica set llama-runtime-c768cf9dc from 0 to 1
4m53s       Normal   SuccessfulCreate    replicaset/llama-runtime-c768cf9dc                              Created pod: llama-runtime-c768cf9dc-2vdrp
4m53s       Normal   Scheduled           pod/gpt2-runtime-7d7dc5dc48-wqrpk                               Successfully assigned or-sim/gpt2-runtime-7d7dc5dc48-wqrpk to ampere
4m53s       Normal   Pulled              pod/gpt2-runtime-7d7dc5dc48-wqrpk                               Container image "localhost:10690/migrant-model-runtime:go" already present on machine
4m53s       Normal   Created             pod/gpt2-runtime-7d7dc5dc48-wqrpk                               Created container: runtime
4m53s       Normal   SuccessfulCreate    replicaset/gpt2-runtime-7d7dc5dc48                              Created pod: gpt2-runtime-7d7dc5dc48-wqrpk
4m53s       Normal   ScalingReplicaSet   deployment/gpt2-runtime                                         Scaled up replica set gpt2-runtime-7d7dc5dc48 from 0 to 1
4m53s       Normal   Scheduled           pod/llama-runtime-c768cf9dc-2vdrp                               Successfully assigned or-sim/llama-runtime-c768cf9dc-2vdrp to ampere
4m53s       Normal   Pulled              pod/llama-runtime-c768cf9dc-2vdrp                               Container image "localhost:10690/migrant-model-runtime:go" already present on machine
4m53s       Normal   Created             pod/llama-runtime-c768cf9dc-2vdrp                               Created container: runtime
4m53s       Normal   Started             pod/llama-runtime-c768cf9dc-2vdrp                               Started container runtime
